name,price,originalPrice,category,subcategory,brand,description,mainImage,images,rating,reviews,weight,simpleFlavors,variants,featured,trending,bestSeller,lovedByExperts,onSale,shopByGoal,nutritionInfo,ingredients,certifications,nutritionImage,slug
AVVATAR Whey Protein,2999,3499,SPORTS NUTRITION,Proteins,AVVATAR,Premium whey protein isolate,https://yourwebsite.com/products/avvatar-whey-protein/main.jpg,"https://yourwebsite.com/products/avvatar-whey-protein/main.jpg",4.5,150,1kg,"Chocolate,Vanilla,Strawberry","[{\"flavor\":\"Chocolate\",\"weight\":\"1kg\",\"price\":2999},{\"flavor\":\"Vanilla\",\"weight\":\"1kg\",\"price\":2999},{\"flavor\":\"Strawberry\",\"weight\":\"1kg\",\"price\":2999},{\"flavor\":\"Chocolate\",\"weight\":\"2kg\",\"price\":5499}]",TRUE,FALSE,TRUE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (30g): 25g Protein, 110 Calories","Whey Protein Isolate, Natural Flavors",FDA Approved,https://yourwebsite.com/products/avvatar-whey-protein/nutrition.jpg,avvatar-whey-protein
MUSCLETECH Mass Gainer,3299,3799,SPORTS NUTRITION,Gainers,MUSCLETECH,High-calorie mass gainer,https://yourwebsite.com/products/muscletech-mass-gainer/main.jpg,"https://yourwebsite.com/products/muscletech-mass-gainer/main.jpg",4.2,89,3kg,"Chocolate,Vanilla","[{\"flavor\":\"Chocolate\",\"weight\":\"3kg\",\"price\":3299},{\"flavor\":\"Vanilla\",\"weight\":\"3kg\",\"price\":3299},{\"flavor\":\"Chocolate\",\"weight\":\"6kg\",\"price\":5999}]",FALSE,TRUE,FALSE,FALSE,FALSE,MUSCLE_GAIN,"Per serving (100g): 50g Protein, 1000 Calories","Whey Protein Concentrate, Maltodextrin",GMP Certified,https://yourwebsite.com/products/muscletech-mass-gainer/nutrition.jpg,muscletech-mass-gainer
ON (OPTIMUM NUTRITION) Pre-Workout,2499,2999,SPORTS NUTRITION,Pre/Post Workout,ON (OPTIMUM NUTRITION),Explosive pre-workout formula,https://yourwebsite.com/products/optimum-nutrition-pre-workout/main.jpg,"https://yourwebsite.com/products/optimum-nutrition-pre-workout/main.jpg",4.3,200,300g,"Fruit Punch,Blue Razz","[{\"flavor\":\"Fruit Punch\",\"weight\":\"300g\",\"price\":2499},{\"flavor\":\"Blue Razz\",\"weight\":\"300g\",\"price\":2499},{\"flavor\":\"Watermelon\",\"weight\":\"300g\",\"price\":2499}]",TRUE,TRUE,TRUE,FALSE,TRUE,ENERGY_PERFORMANCE,"Per serving (10g): 200mg Caffeine, 3g Beta-Alanine","Caffeine Anhydrous, Beta-Alanine",NSF Certified,,optimum-nutrition-pre-workout
BSN Amino Acids,1899,2299,SPORTS NUTRITION,Amino Acids,BSN,Essential amino acids for recovery,https://yourwebsite.com/products/bsn-amino-acids/main.jpg,"https://yourwebsite.com/products/bsn-amino-acids/main.jpg",4.1,120,500g,"Orange,Lemon",{},FALSE,FALSE,TRUE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (15g): 7g BCAA, 10 Calories","L-Leucine, L-Isoleucine, L-Valine",Quality Tested,,bsn-amino-acids
DYMATIZE Protein,3199,3699,SPORTS NUTRITION,Proteins,DYMATIZE,Premium protein supplement,https://yourwebsite.com/products/dymatize-protein/main.jpg,"https://yourwebsite.com/products/dymatize-protein/main.jpg",4.4,180,2kg,"Chocolate,Vanilla,Cookies",{},TRUE,FALSE,FALSE,TRUE,TRUE,MUSCLE_GAIN,"Per serving (32g): 25g Protein, 120 Calories","Whey Protein Isolate, Whey Protein Concentrate",FDA Approved,,dymatize-protein
GHOST Protein,3299,3799,SPORTS NUTRITION,Proteins,GHOST,Transparent protein formula,https://yourwebsite.com/products/ghost-protein/main.jpg,"https://yourwebsite.com/products/ghost-protein/main.jpg",4.5,190,2kg,"Cereal Milk,Peanut Butter","[{\"flavor\":\"Cereal Milk\",\"weight\":\"2kg\",\"price\":3299},{\"flavor\":\"Peanut Butter\",\"weight\":\"2kg\",\"price\":3299},{\"flavor\":\"Cereal Milk\",\"weight\":\"1kg\",\"price\":1899}]",TRUE,TRUE,TRUE,FALSE,FALSE,MUSCLE_GAIN,"Per serving (32g): 25g Protein, 120 Calories","Whey Protein Isolate, Natural Flavors",FDA Approved,,ghost-protein
LABRADA Mass Gainer,4199,4799,SPORTS NUTRITION,Gainers,LABRADA,Lean body mass gainer,https://yourwebsite.com/products/labrada-mass-gainer/main.jpg,"https://yourwebsite.com/products/labrada-mass-gainer/main.jpg",4.3,145,6kg,"Chocolate,Vanilla,Strawberry","[{\"flavor\":\"Chocolate\",\"weight\":\"6kg\",\"price\":4199},{\"flavor\":\"Vanilla\",\"weight\":\"6kg\",\"price\":4199},{\"flavor\":\"Strawberry\",\"weight\":\"6kg\",\"price\":4199},{\"flavor\":\"Chocolate\",\"weight\":\"3kg\",\"price\":2499}]",TRUE,FALSE,TRUE,FALSE,FALSE,MUSCLE_GAIN,"Per serving (168g): 60g Protein, 834 Calories","Whey Protein Concentrate, Maltodextrin",GMP Certified,,labrada-mass-gainer
UNIVERSAL Whey Protein,3599,4099,SPORTS NUTRITION,Proteins,UNIVERSAL,Complete whey protein,https://yourwebsite.com/products/universal-whey-protein/main.jpg,"https://yourwebsite.com/products/universal-whey-protein/main.jpg",4.4,180,2kg,"Chocolate Coconut,Vanilla",{},FALSE,TRUE,TRUE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (30g): 25g Protein, 130 Calories","Whey Protein Concentrate, Whey Protein Isolate",FDA Approved,,universal-whey-protein
MUTANT BCAA,1999,2399,SPORTS NUTRITION,Amino Acids,MUTANT,Complete BCAA formula,https://yourwebsite.com/products/mutant-bcaa/main.jpg,"https://yourwebsite.com/products/mutant-bcaa/main.jpg",4.2,140,348g,"Blue Razz,Pineapple Passion",{},FALSE,TRUE,TRUE,FALSE,FALSE,MUSCLE_GAIN,"Per serving (12g): 9.7g BCAA + EAA, 0 Calories","BCAA 2:1:1, Essential Amino Acids",Quality Tested,,mutant-bcaa
GASPARI Aminolast,2299,2799,SPORTS NUTRITION,Amino Acids,GASPARI,Recovery & endurance BCAA,https://yourwebsite.com/products/gaspari-aminolast/main.jpg,"https://yourwebsite.com/products/gaspari-aminolast/main.jpg",4.1,130,420g,"Lemon Ice,Fruit Punch",{},TRUE,FALSE,FALSE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (14g): 10g Amino Acids","BCAA, Leucine Peptides, Alanyl-Glutamine",FDA Approved,,gaspari-aminolast
PROSUPPS Hyde,2599,3099,SPORTS NUTRITION,Pre/Post Workout,PROSUPPS,Nightmare pre-workout,https://yourwebsite.com/products/prosupps-hyde/main.jpg,"https://yourwebsite.com/products/prosupps-hyde/main.jpg",4.3,160,300g,"Blue Razz,Fruit Punch",{},FALSE,TRUE,TRUE,FALSE,TRUE,ENERGY_PERFORMANCE,"Per serving (7.3g): 300mg Caffeine, 3g Creatine","Caffeine, Creatine Nitrate, Beta-Alanine",GMP Certified,,prosupps-hyde
INSANE LABZ Psychotic,2199,2699,SPORTS NUTRITION,Pre/Post Workout,INSANE LABZ,Psychotic pre-workout,https://yourwebsite.com/products/insane-labz-psychotic/main.jpg,"https://yourwebsite.com/products/insane-labz-psychotic/main.jpg",4.2,145,220g,"Fruit Punch,Grape,Apple",{},FALSE,FALSE,TRUE,TRUE,TRUE,ENERGY_PERFORMANCE,"Per serving (3.54g): 400mg Caffeine Blend","Caffeine, Beta-Alanine, Creatine Monohydrate",Quality Tested,,insane-labz-psychotic
